gene	STRING_id
TFPI	9606.ENSP00000233156
TFAP2B	9606.ENSP00000377265
CYB561	9606.ENSP00000376702
AASS	9606.ENSP00000377040
MAPK8IP2	9606.ENSP00000330572
IL20RA	9606.ENSP00000314976
CPS1	9606.ENSP00000402608
BARX2	9606.ENSP00000281437
PRSS8	9606.ENSP00000319730
NNAT	9606.ENSP00000062104
CBLN4	9606.ENSP00000064571
TMCC3	9606.ENSP00000261226
PTPRU	9606.ENSP00000334941
NGFR	9606.ENSP00000172229
NTN1	9606.ENSP00000173229
NGEF	9606.ENSP00000264051
ASIC4	9606.ENSP00000326627
SREBF1	9606.ENSP00000348069
FOSL2	9606.ENSP00000264716
RGS11	9606.ENSP00000380876
IL4R	9606.ENSP00000379111
TCF7	9606.ENSP00000340347
SEMA5B	9606.ENSP00000389588
TESC	9606.ENSP00000334785
CHGB	9606.ENSP00000368244
TF	9606.ENSP00000385834
CPA1	9606.ENSP00000011292
RASD2	9606.ENSP00000216127
CHGA	9606.ENSP00000216492
ITPK1	9606.ENSP00000267615
GALNT16	9606.ENSP00000336729
BMP7	9606.ENSP00000379204
ASB9	9606.ENSP00000369855
MMP15	9606.ENSP00000219271
NDRG4	9606.ENSP00000377823
TRPA1	9606.ENSP00000262209
PLAT	9606.ENSP00000220809
SHD	9606.ENSP00000446058
LFNG	9606.ENSP00000222725
PTGDS	9606.ENSP00000360687
RAB34	9606.ENSP00000413156
DTX4	9606.ENSP00000227451
ASIC1	9606.ENSP00000228468
ST8SIA1	9606.ENSP00000379353
COL12A1	9606.ENSP00000325146
PCDHB2	9606.ENSP00000194155
HAND1	9606.ENSP00000231121
COL7A1	9606.ENSP00000332371
CBLB	9606.ENSP00000264122
KCNIP3	9606.ENSP00000295225
EFHD1	9606.ENSP00000264059
TNR	9606.ENSP00000356646
OPRD1	9606.ENSP00000234961
NT5C1A	9606.ENSP00000235628
RIMS3	9606.ENSP00000361769
KIF17	9606.ENSP00000247986
OLFM3	9606.ENSP00000345192
NR4A3	9606.ENSP00000482027
PPP4R4	9606.ENSP00000305924
TNN	9606.ENSP00000239462
PLXDC2	9606.ENSP00000366460
SPINK4	9606.ENSP00000369045
DBH	9606.ENSP00000376776
SH3TC1	9606.ENSP00000245105
DOK4	9606.ENSP00000344277
EFNB2	9606.ENSP00000245323
BMP2	9606.ENSP00000368104
PCSK2	9606.ENSP00000262545
FLRT1	9606.ENSP00000246841
CDKN1C	9606.ENSP00000413720
CBFA2T3	9606.ENSP00000268679
DPP6	9606.ENSP00000367001
C1QL1	9606.ENSP00000253407
DDC	9606.ENSP00000403644
MATN2	9606.ENSP00000254898
PDZD2	9606.ENSP00000402033
GSC	9606.ENSP00000238558
MYCN	9606.ENSP00000281043
RERG	9606.ENSP00000256953
OSTF1	9606.ENSP00000340836
NT5E	9606.ENSP00000257770
FAIM2	9606.ENSP00000321951
SERPINE2	9606.ENSP00000415786
WNT10A	9606.ENSP00000258411
IGFBPL1	9606.ENSP00000366923
IER3	9606.ENSP00000259874
MYO7A	9606.ENSP00000386331
FXYD6	9606.ENSP00000482442
TACC2	9606.ENSP00000358001
PCDH10	9606.ENSP00000264360
ASCL1	9606.ENSP00000266744
ACVRL1	9606.ENSP00000373574
ADAMTS17	9606.ENSP00000268070
RHBDL3	9606.ENSP00000269051
CRABP2	9606.ENSP00000482841
RGS16	9606.ENSP00000356529
HMCN1	9606.ENSP00000271588
RORC	9606.ENSP00000327025
SEMA6C	9606.ENSP00000357909
FBLN7	9606.ENSP00000331411
ADAMTS16	9606.ENSP00000274181
VLDLR	9606.ENSP00000371532
LRRC4C	9606.ENSP00000278198
VEGFC	9606.ENSP00000480043
CCDC3	9606.ENSP00000368102
SPOCK1	9606.ENSP00000378401
CAMK4	9606.ENSP00000282356
UTRN	9606.ENSP00000356515
CNTNAP4	9606.ENSP00000479811
PTPRD	9606.ENSP00000370593
PDLIM3	9606.ENSP00000284770
NCAM2	9606.ENSP00000383392
ACSS1	9606.ENSP00000316924
CA10	9606.ENSP00000405388
FZD7	9606.ENSP00000286201
SLC24A2	9606.ENSP00000344801
GDF6	9606.ENSP00000287020
SSBP3	9606.ENSP00000360371
RADIL	9606.ENSP00000382492
SCUBE1	9606.ENSP00000354080
SPON2	9606.ENSP00000483599
ZNF208	9606.ENSP00000380315
GBP2	9606.ENSP00000359497
GBP4	9606.ENSP00000359490
LRRTM1	9606.ENSP00000295057
FZD5	9606.ENSP00000354607
COL6A3	9606.ENSP00000295550
INAVA	9606.ENSP00000392105
FEV	9606.ENSP00000295727
RYBP	9606.ENSP00000419494
PTX3	9606.ENSP00000295927
SHISA5	9606.ENSP00000296444
DRGX	9606.ENSP00000363254
VSTM4	9606.ENSP00000331062
STOX1	9606.ENSP00000298596
NELL1	9606.ENSP00000298925
IGF2	9606.ENSP00000391826
PRRT2	9606.ENSP00000456226
ATCAY	9606.ENSP00000390941
SLC43A2	9606.ENSP00000461382
KRT80	9606.ENSP00000378292
MGAT5B	9606.ENSP00000391227
INSM2	9606.ENSP00000306523
KCNG4	9606.ENSP00000312129
NPR1	9606.ENSP00000357669
TRIM56	9606.ENSP00000305161
IFFO2	9606.ENSP00000387941
MYO7B	9606.ENSP00000415090
SERPINA6	9606.ENSP00000342850
LRRN2	9606.ENSP00000356143
GPRC5C	9606.ENSP00000376403
VSTM2A	9606.ENSP00000384103
NPAS2	9606.ENSP00000338283
MTSS1	9606.ENSP00000322804
APLN	9606.ENSP00000391800
COL24A1	9606.ENSP00000359603
ZNF217	9606.ENSP00000360526
IGDCC3	9606.ENSP00000332773
PABPC5	9606.ENSP00000308012
SPSB4	9606.ENSP00000311609
PPM1E	9606.ENSP00000312411
CHST1	9606.ENSP00000309270
SCUBE2	9606.ENSP00000429969
DPP10	9606.ENSP00000376855
B3GNT4	9606.ENSP00000319636
VSIG10	9606.ENSP00000352172
DSCAML1	9606.ENSP00000315465
B3GNT8	9606.ENSP00000312700
UMODL1	9606.ENSP00000386126
FAM20C	9606.ENSP00000322323
ALS2CL	9606.ENSP00000313670
PRSS36	9606.ENSP00000268281
SHISA3	9606.ENSP00000326445
ERFE	9606.ENSP00000442304
PLD5	9606.ENSP00000440896
NRIP1	9606.ENSP00000383063
SSTR2	9606.ENSP00000350198
TDRKH	9606.ENSP00000357812
SLC35D3	9606.ENSP00000333591
CADM1	9606.ENSP00000329797
NKX2-5	9606.ENSP00000327758
BEGAIN	9606.ENSP00000411124
ALDH1A3	9606.ENSP00000332256
PRKD1	9606.ENSP00000333568
TMEM255B	9606.ENSP00000364502
TAFA3	9606.ENSP00000358644
ZBTB7C	9606.ENSP00000468782
ANO9	9606.ENSP00000332788
MAPK11	9606.ENSP00000333685
GPRIN3	9606.ENSP00000476603
NR2F2	9606.ENSP00000377721
