gene	STRING_id
ABCB4	9606.ENSP00000265723
CACNA1G	9606.ENSP00000352011
TNFRSF12A	9606.ENSP00000326737
BAIAP2L1	9606.ENSP00000005260
PROM1	9606.ENSP00000426809
MMP25	9606.ENSP00000337816
DCN	9606.ENSP00000052754
WWTR1	9606.ENSP00000419465
SNAI2	9606.ENSP00000380034
PLEKHB1	9606.ENSP00000346127
RRAGD	9606.ENSP00000358423
BMAL2	9606.ENSP00000266503
PTPRN	9606.ENSP00000295718
PRDM6	9606.ENSP00000384725
SEZ6	9606.ENSP00000312942
ISOC1	9606.ENSP00000173527
PFKP	9606.ENSP00000370517
RASGRP2	9606.ENSP00000338864
MAOB	9606.ENSP00000367309
CHAT	9606.ENSP00000337103
SLC12A3	9606.ENSP00000402152
PANX2	9606.ENSP00000379183
PPP2R2C	9606.ENSP00000335083
CA12	9606.ENSP00000178638
SEMA3C	9606.ENSP00000265361
PLD1	9606.ENSP00000342793
GPC4	9606.ENSP00000359864
MAP2	9606.ENSP00000353508
ITM2A	9606.ENSP00000362395
BRINP1	9606.ENSP00000265922
SCGN	9606.ENSP00000367197
PTPRC	9606.ENSP00000411355
DLG3	9606.ENSP00000363480
TRPM3	9606.ENSP00000366314
COL16A1	9606.ENSP00000362776
ABCB1	9606.ENSP00000478255
ACHE	9606.ENSP00000303211
ADAMTS2	9606.ENSP00000251582
RPH3A	9606.ENSP00000374036
SEL1L3	9606.ENSP00000382767
JPH4	9606.ENSP00000380307
UNC13D	9606.ENSP00000207549
CRTAC1	9606.ENSP00000359629
SEZ6L	9606.ENSP00000248933
TIMP3	9606.ENSP00000266085
NEFH	9606.ENSP00000311997
APOL1	9606.ENSP00000317674
PYGL	9606.ENSP00000216392
PAPLN	9606.ENSP00000345395
SRPX	9606.ENSP00000367794
PLS3	9606.ENSP00000348163
ZDHHC15	9606.ENSP00000362465
FGL1	9606.ENSP00000381133
OLFM2	9606.ENSP00000264833
GPI	9606.ENSP00000405573
ICAM5	9606.ENSP00000221980
ATP1A3	9606.ENSP00000444688
GRIK5	9606.ENSP00000262895
VIPR2	9606.ENSP00000262178
IMPDH1	9606.ENSP00000345096
SERPINE1	9606.ENSP00000223095
GIMAP2	9606.ENSP00000223293
TMEM176B	9606.ENSP00000410269
KCNT1	9606.ENSP00000360822
CXCL12	9606.ENSP00000379140
SFXN3	9606.ENSP00000224807
LGI1	9606.ENSP00000360472
COL1A1	9606.ENSP00000225964
ABCC3	9606.ENSP00000285238
PHOX2B	9606.ENSP00000226382
ODAM	9606.ENSP00000379401
MAPK10	9606.ENSP00000352157
ZNF330	9606.ENSP00000262990
LRP2BP	9606.ENSP00000332681
CTSC	9606.ENSP00000227266
SLC35F2	9606.ENSP00000436785
EXPH5	9606.ENSP00000265843
MANSC1	9606.ENSP00000438205
ENO2	9606.ENSP00000437402
BTN3A3	9606.ENSP00000244519
PHACTR1	9606.ENSP00000329880
RBM24	9606.ENSP00000368341
HBEGF	9606.ENSP00000230990
LOX	9606.ENSP00000231004
ARRDC3	9606.ENSP00000265138
SLC27A6	9606.ENSP00000262462
PRLR	9606.ENSP00000482954
FGF1	9606.ENSP00000480791
UNC5A	9606.ENSP00000332737
FAM162A	9606.ENSP00000419088
MAPKAPK3	9606.ENSP00000396467
ADAM23	9606.ENSP00000264377
PDE1A	9606.ENSP00000410309
EVA1A	9606.ENSP00000233712
KISS1R	9606.ENSP00000234371
PRRX1	9606.ENSP00000239461
ANGPTL1	9606.ENSP00000234816
ELAPOR1	9606.ENSP00000358955
OLFML3	9606.ENSP00000322273
GBP3	9606.ENSP00000359512
RAB29	9606.ENSP00000356107
HSD11B1	9606.ENSP00000355995
PLPPR4	9606.ENSP00000359204
B4GALT6	9606.ENSP00000306459
FILIP1	9606.ENSP00000237172
SGK1	9606.ENSP00000356832
SPP1	9606.ENSP00000378517
SLC17A5	9606.ENSP00000348019
CD274	9606.ENSP00000370989
TGFBI	9606.ENSP00000416330
CXCR4	9606.ENSP00000386884
NUDT10	9606.ENSP00000365174
BHLHE41	9606.ENSP00000242728
ADGRE5	9606.ENSP00000242786
MMP19	9606.ENSP00000313437
IL13RA2	9606.ENSP00000361004
BATF3	9606.ENSP00000243440
RAB38	9606.ENSP00000243662
PI3	9606.ENSP00000243924
GDAP1L1	9606.ENSP00000440498
HIF3A	9606.ENSP00000366898
NDP	9606.ENSP00000367301
NRN1	9606.ENSP00000480483
MT2A	9606.ENSP00000245185
C3	9606.ENSP00000245907
TSPAN8	9606.ENSP00000377003
TUBA4A	9606.ENSP00000248437
TNFRSF19	9606.ENSP00000371693
GNAI1	9606.ENSP00000343027
LRFN1	9606.ENSP00000248668
VGF	9606.ENSP00000249330
LRRC17	9606.ENSP00000344242
GAD1	9606.ENSP00000350928
EGLN3	9606.ENSP00000250457
APOE	9606.ENSP00000252486
NCAN	9606.ENSP00000252575
KIF1A	9606.ENSP00000438388
CACNG6	9606.ENSP00000252729
GDF15	9606.ENSP00000252809
ASS1	9606.ENSP00000361471
ARHGEF16	9606.ENSP00000367629
SMPDL3B	9606.ENSP00000363001
ULBP2	9606.ENSP00000356320
AKAP12	9606.ENSP00000384537
RFTN1	9606.ENSP00000334153
MATN3	9606.ENSP00000383894
EMILIN2	9606.ENSP00000254528
KANK4	9606.ENSP00000360195
SYT4	9606.ENSP00000255224
SPINK5	9606.ENSP00000352936
TTC9	9606.ENSP00000256367
BHLHE40	9606.ENSP00000256495
CHL1	9606.ENSP00000256509
LDHA	9606.ENSP00000445175
ANO3	9606.ENSP00000256737
CRB1	9606.ENSP00000356370
STK26	9606.ENSP00000377867
CYP2J2	9606.ENSP00000360247
PRPH	9606.ENSP00000257860
ITGA7	9606.ENSP00000452120
KCNMB4	9606.ENSP00000258111
KCNK1	9606.ENSP00000355580
HTR2B	9606.ENSP00000258400
DRAM1	9606.ENSP00000258534
GPNMB	9606.ENSP00000371420
MYC	9606.ENSP00000479618
IL33	9606.ENSP00000370842
GMPR	9606.ENSP00000259727
SLCO2B1	9606.ENSP00000289575
PAQR5	9606.ENSP00000378803
IFI44L	9606.ENSP00000359787
IFI44	9606.ENSP00000359783
SLC44A5	9606.ENSP00000359892
SIX3	9606.ENSP00000260653
MYOF	9606.ENSP00000352208
FGF5	9606.ENSP00000311697
LEF1	9606.ENSP00000265165
ERP27	9606.ENSP00000266397
GABARAPL1	9606.ENSP00000266458
C1RL	9606.ENSP00000266542
KLRG1	9606.ENSP00000349477
GLIPR1	9606.ENSP00000266659
LUM	9606.ENSP00000266718
SLAIN1	9606.ENSP00000400921
RTN1	9606.ENSP00000267484
ADAM21	9606.ENSP00000474385
TPM1	9606.ENSP00000351022
OSGIN1	9606.ENSP00000355374
SLC16A3	9606.ENSP00000463978
IFITM3	9606.ENSP00000382707
ADAMTS10	9606.ENSP00000270328
LMO4	9606.ENSP00000359575
ECM1	9606.ENSP00000358045
CGN	9606.ENSP00000271636
DYRK3	9606.ENSP00000356076
EFNA3	9606.ENSP00000357393
AQP10	9606.ENSP00000318355
CNIH3	9606.ENSP00000272133
MARCHF4	9606.ENSP00000273067
NFKBIZ	9606.ENSP00000325663
CORIN	9606.ENSP00000273857
PDGFC	9606.ENSP00000422464
LHFPL2	9606.ENSP00000369702
IQGAP2	9606.ENSP00000274364
CPLX2	9606.ENSP00000352544
TPBG	9606.ENSP00000358765
PRSS35	9606.ENSP00000358714
ARHGAP18	9606.ENSP00000357131
VIP	9606.ENSP00000356213
IGFBP3	9606.ENSP00000370473
ARHGAP36	9606.ENSP00000276211
SYBU	9606.ENSP00000407118
CDKN2A	9606.ENSP00000418915
GSN	9606.ENSP00000362924
HMCN2	9606.ENSP00000485357
LYPD1	9606.ENSP00000380605
FOXO1	9606.ENSP00000368880
AKAP6	9606.ENSP00000280979
NPAS3	9606.ENSP00000348460
BAG3	9606.ENSP00000358081
HSPB8	9606.ENSP00000281938
CYSLTR2	9606.ENSP00000282018
RIT2	9606.ENSP00000321805
GJA1	9606.ENSP00000282561
JPH3	9606.ENSP00000284262
TNIK	9606.ENSP00000399511
NEIL2	9606.ENSP00000284503
GOLGA7B	9606.ENSP00000359634
PPP2R2B	9606.ENSP00000377936
HK1	9606.ENSP00000402103
CD109	9606.ENSP00000287097
UNC5D	9606.ENSP00000385143
NRG1	9606.ENSP00000384620
ETS2	9606.ENSP00000353344
PALM2AKAP2	9606.ENSP00000363654
TRIM63	9606.ENSP00000363390
DYNC1I1	9606.ENSP00000320130
DMTN	9606.ENSP00000427866
C1R	9606.ENSP00000438615
FNDC5	9606.ENSP00000362570
FGFR4	9606.ENSP00000292408
ZNF385A	9606.ENSP00000338927
SHANK1	9606.ENSP00000293441
IP6K3	9606.ENSP00000398861
CXCL16	9606.ENSP00000293778
PDZK1IP1	9606.ENSP00000294338
ELAVL4	9606.ENSP00000349594
AK4	9606.ENSP00000378743
DRAXIN	9606.ENSP00000294485
ALPL	9606.ENSP00000363973
ELF3	9606.ENSP00000352673
FBLN2	9606.ENSP00000384169
